Character,Relation,Attribute,Content
,,dead_partner,"I will cherish your sacrifice, always."
,,start_my_turn_stress_heal_partner,Steady those hands. You've got this!
Highwayman,,start_my_turn_stress_heal_partner,You're tougher than this. Breathe.
Man-at-arms,,start_my_turn_stress_heal_partner,Steady yerself...
Grave Robber,,start_my_turn_stress_heal_partner,We'll share a tipple when this blows over.
Plague Doctor,,start_my_turn_stress_heal_partner,Trust in our methods! In one another!
Occultist,,start_my_turn_stress_heal_partner,We shall safeguard one another.
Jester,,start_my_turn_stress_heal_partner,"There, there. You've had worse!"
Leper,,start_my_turn_stress_heal_partner,Allow the sun scatter your clouds.
Hellion,,start_my_turn_stress_heal_partner,We thrill to the spilling of blood!
Runaway,,start_my_turn_stress_heal_partner,Keep close! I won't let 'em pick you off!
,hopeful,start_my_turn_stress_heal_partner,Don't give in. All is not lost.
Highwayman,hopeful,start_my_turn_stress_heal_partner,"You've been down worse roads, my friend."
Man-at-arms,hopeful,start_my_turn_stress_heal_partner,"We'll win the day, you'll see."
Grave Robber,hopeful,start_my_turn_stress_heal_partner,The future is a full coffer!
Plague Doctor,hopeful,start_my_turn_stress_heal_partner,Give up now? With so much yet to learn? BAH!
Occultist,hopeful,start_my_turn_stress_heal_partner,"Hope is the greatest mystery of all, my friend."
Jester,hopeful,start_my_turn_stress_heal_partner,"Ah, the songs we'll write together..."
Leper,hopeful,start_my_turn_stress_heal_partner,Spring snows must thaw.
Hellion,hopeful,start_my_turn_stress_heal_partner,We'll split their guts!
Runaway,hopeful,start_my_turn_stress_heal_partner,"Burn bright, my friend!"
,,start_my_turn_buff_partner,"Here, try this..."
Highwayman,,start_my_turn_buff_partner,Shoot to kill.
Man-at-arms,,start_my_turn_buff_partner,Show them what you're made of!
Grave Robber,,start_my_turn_buff_partner,From my special stash. Use it well.
Plague Doctor,,start_my_turn_buff_partner,Have a whiff of these vapours...
Occultist,,start_my_turn_buff_partner,A taste of my power - for you.
Jester,,start_my_turn_buff_partner,You hold this little crew together.
Leper,,start_my_turn_buff_partner,My strength is your strength.
Hellion,,start_my_turn_buff_partner,We shall revel on their graves!
Runaway,,start_my_turn_buff_partner,Don't ask where I learned this.
,hopeful,start_my_turn_buff_partner,I can see this arrangement working out.
Highwayman,hopeful,start_my_turn_buff_partner,Here. They'll never see you coming.
Man-at-arms,hopeful,start_my_turn_buff_partner,Follow my lead!
Grave Robber,hopeful,start_my_turn_buff_partner,"I'll draw their eye, then you strike!"
Plague Doctor,hopeful,start_my_turn_buff_partner,Our coadjuvancy - their downfall!
